Xbox 360 Table
Content Title,Content Type,Price (USD)
Cyber Troopers Virtual On Oratorio Tangram*,Backward Compatible,[$7.49](https://marketplace.xbox.com/product/Virtual-On-OT/66acd000-77fe-1000-9115-d80258410985?cid=majornelson&DownloadType=Game#LiveZone)
DAYTONA USA*,Backward Compatible,[$4.99](https://marketplace.xbox.com/Product/DAYTONA-USA/66acd000-77fe-1000-9115-d80258410b1d?cid=majornelson&DownloadType=Game#LiveZone)
Fighting Vipers*,Backward Compatible,[$1.24](https://marketplace.xbox.com/product/Fighting-Vipers/66acd000-77fe-1000-9115-d8025841129d?cid=majornelson&DownloadType=Game#LiveZone)
Mafia II*,Backward Compatible,[$7.49](https://marketplace.xbox.com/Product/Mafia-II/66acd000-77fe-1000-9115-d802545407e6?cid=majornelson&DownloadType=Game#LiveZone)
Red Dead Redemption*,Backward Compatible,[$9.89](https://marketplace.xbox.com/Product/Red-Dead-Redemption/66acd000-77fe-1000-9115-d8025454082b?cid=majornelson&DownloadType=Game#LiveZone)
The Escapists*,Games On Demand,[$4.99](https://marketplace.xbox.com/Product/The-Escapists/66acd000-77fe-1000-9115-d802464a07d1?cid=majornelson&DownloadType=Game#LiveZone)
Virtua Fighter 2*,Backward Compatible,[$2.49](https://marketplace.xbox.com/product/Virtua-Fighter-2/66acd000-77fe-1000-9115-d8025841129c?cid=majornelson&DownloadType=Game#LiveZone)
Worms 2: Armageddon*,Arcade,[$1.24](https://marketplace.xbox.com/Product/Worms-2-Armageddon/66acd000-77fe-1000-9115-d80258410912?cid=majornelson&DownloadType=Game#LiveZone)
Worms Revolution*,Arcade,[$2.49](https://marketplace.xbox.com/Product/Worms-Revolution/66acd000-77fe-1000-9115-d80258411290?cid=majornelson&DownloadType=Game#LiveZone)
Worms*,Arcade,[$1.24](https://marketplace.xbox.com/Product/Worms/66acd000-77fe-1000-9115-d802584107de?cid=majornelson&DownloadType=Game#LiveZone)
Worms: Ultimate Mayhem*,Arcade,[$2.49](https://marketplace.xbox.com/Product/Worms-Ultimate-Mayhem/66acd000-77fe-1000-9115-d80258410afd?cid=majornelson&DownloadType=Game#LiveZone)
