Xbox One Table
Content Title,Content Type,Price (USD)
Battlefield 1 In the Name of the Tsar,Add-On,[Free](https://www.microsoft.com/en-us/p/battlefield-1-in-the-name-of-the-tsar/bq0v41g2r0fp?cid=majornelson)
Battlefield 1 They Shall Not Pass,Add-On,[Free](https://www.microsoft.com/en-us/p/battlefield-1-they-shall-not-pass/c2m3gd4wqj2z?cid=majornelson)
Black Mirror*,Xbox One Game,[$8.00](https://www.microsoft.com/en-us/p/black-mirror/c29qzc55cczg?cid=majornelson)
Child of Light – Dark Pack,Add-On,[$1.00](https://www.microsoft.com/en-us/p/dark-pack/bs518hztps3n?cid=majornelson)
Child of Light – Light Pack,Add-On,[$1.00](https://www.microsoft.com/en-us/p/light-pack/c16bjgs3kxh5?cid=majornelson)
Child of Light – The Golem’s Plight Pack,Add-On,[$1.50](https://www.microsoft.com/en-us/p/the-golems-plight-pack/c57vrlff733q?cid=majornelson)
Child of Light*,Xbox One Game,[$4.50](https://www.microsoft.com/en-us/p/child-of-light/bq9q620nc614?cid=majornelson)
Iron Wings,Xbox One Game,[$8.75](https://www.microsoft.com/en-us/p/iron-wings/bx6xlbgx3qtf?cid=majornelson)
Letter Quest: Grimm’s Journey Remastered*,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/letter-quest-grimms-journey-remastered/c1w6dr9z9684?cid=majornelson)
Lichdom: Battlemage*,Xbox One Game,[$9.00](https://www.microsoft.com/en-us/p/lichdom-battlemage/bvjk7v1bdqrf?cid=majornelson)
Madden NFL 19*,Xbox One X Enhanced,[$38.99](https://www.microsoft.com/en-us/p/madden-nfl-19/bvf5zgd9nm52?cid=majornelson)
Madden NFL 19: Hall of Fame Edition*,Xbox One X Enhanced,[$47.99](https://www.microsoft.com/en-us/p/madden-nfl-19-hall-of-fame-edition/bpjt98hk2bzl?cid=majornelson)
NBA LIVE 19*,Xbox One X Enhanced,[$40.19](https://www.microsoft.com/en-us/p/nba-live-19/bvx4z50zbh5q?cid=majornelson)
Ninjin: Clash of Carrots*,Xbox One Game,[$11.24](https://www.microsoft.com/en-us/p/ninjin-clash-of-carrots/bpn65mshs43g?cid=majornelson)
Quiplash*,Xbox One Game,[$5.49](https://www.microsoft.com/en-us/store/p/quiplash/bz3pggf8l81j?cid=majornelson)
Rad Rodgers*,Xbox One Game,[$13.99](https://www.microsoft.com/en-us/p/rad-rodgers/bnpthwmgdfbr?cid=majornelson)
Robocraft Infinity*,Xbox One X Enhanced,[$7.99](https://www.microsoft.com/en-us/p/robocraft-infinity/9n7b74smt0rp?cid=majornelson)
Rogue Stormers*,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/rogue-stormers/bqc3s5zjj9h5?cid=majornelson)
Shadow of the Tomb Raider – Croft Edition*,Xbox One X Enhanced,[$67.49](https://www.microsoft.com/en-us/p/shadow-of-the-tomb-raider-croft-edition/btqrkj862kfr?cid=majornelson)
Shadow of the Tomb Raider – Digital Deluxe Edition*,Xbox One X Enhanced,[$52.49](https://www.microsoft.com/en-us/p/shadow-of-the-tomb-raider-digital-deluxe-edition/btl66qjcsnww?cid=majornelson)
Shadow of the Tomb Raider*,Xbox One X Enhanced,[$44.99](https://www.microsoft.com/en-us/p/shadow-of-the-tomb-raider/bzwxbgcf2777?cid=majornelson)
Shred It! *,Xbox One Game,[$5.99](https://www.microsoft.com/en-us/p/shred-it/bpq6pcks8kpx?cid=majornelson)
The Bridge,Xbox One Game,[$3.00+](https://www.microsoft.com/en-us/p/the-bridge/c2p1cf27vvdf?cid=majornelson)
The Shapeshifting Detective (pre-order),Xbox One Game,[$10.39](https://www.microsoft.com/en-us/p/the-shapeshifting-detective/9ncnj43hgvmm?cid=majornelson)
The Sun and Moon*,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/the-sun-and-moon/bnnslv91ctkj?cid=majornelson)
Troll & I*,Xbox One Game,[$15.00](https://www.microsoft.com/en-us/p/troll-i/c4q2gxqkzmsg?cid=majornelson)
Tropico 5 – Epic Meltdown,Add-On,[$2.00](https://www.microsoft.com/en-us/p/tropico-5-epic-meltdown/c0dkc71pmskb?cid=majornelson)
Tropico 5 – Espionage,Add-On,[$2.00](https://www.microsoft.com/en-us/p/tropico-5-espionage/c0jdb0gq373k?cid=majornelson)
Tropico 5 – Paradise Lost,Add-On,[$2.00](https://www.microsoft.com/en-us/p/tropico-5-paradise-lost/bz58jw1m5q5t?cid=majornelson)
Tropico 5 – Waterborne,Add-On,[$2.00](https://www.microsoft.com/en-us/p/tropico-5-waterborne/c0zcdrrzhljv?cid=majornelson)
Unravel Two*,Xbox One X Enhanced,[$14.99](https://www.microsoft.com/en-us/p/unravel-two/c4vklmg1hlzw?cid=majornelson)
Unravel Yarny Bundle*,Xbox One X Enhanced,[$19.49](https://www.microsoft.com/en-us/p/unravel-yarny-bundle/c00l6ltvqhss?cid=majornelson)
Vertical Drop Heroes HD*,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/vertical-drop-heroes-hd/bq6nn0jbz8z2?cid=majornelson)
