Xbox 360 Table
Content Title,Content Type,Price (USD)
Bound by Flame,Backward Compatible,80%
Bulletstorm*,Games On Demand,67%
Contrast ,Arcade,80%
Duke Nukem 3D*,Arcade,67%
Faery: Legends of Avalon,Backward Compatible,80%
Farming Simulator 15,Games On Demand,75%
Farming Simulator 15 – IT Runner DLC,Add-On,33%
Farming Simulator 15 – JCB DLC,Add-On,33%
Final Exam ,Arcade,80%
Grand Theft Auto: San Andreas*,Backward Compatible,35%
Mars: War Logs,Backward Compatible,80%
Persona 4 Arena Ultimax*,Backward Compatible,50%
RAW : Realms of Ancient War,Games On Demand,80%
Rock of Ages*,Arcade,75%
Sega Vintage Collection: Golden Axe*,Arcade,50%
Trine 2*,Backward Compatible,50%
