Xbox One Table
Content Title,Content Type,Price (USD)
Battlefield 1 & Titanfall 2 Ultimate Bundle*,Xbox One X Enhanced,85%
Battlefield 1 : Apocalypse,Add-On,100%
Battlefield 1 : Turning Tides,Add-On,100%
Beyond Eyes,Xbox One Game,75%
Blood Bowl 2,Xbox One Game,75%
Blood Bowl 2 – Legendary Edition,Xbox One Game,75%
Blood Bowl 2: Official Expansion + Team Pack,Xbox One Game,33%
Bridge Constructor,Xbox One Game,70%
Bridge Constructor Portal,Xbox One Game,33%
Bridge Constructor Stunts,Xbox One Game,70%
Burnout Paradise Remastered*,Xbox One X Enhanced,60%
Defender’s Quest: Valley of the Forgotten DX*,Xbox One Game,33%
Destiny 2: Forsaken – Complete Collection*,Xbox One X Enhanced,20%
Destiny 2: Forsaken – Legendary Collection*,Xbox One X Enhanced,35%
Digerati Indie Darling Bundle Vol.2*,Xbox One Game,70%
Divinity: Original Sin – Enhanced Edition,Xbox One Game,75%
F1 2015*,Xbox One Game,85%
F1 2016*,Xbox One Game,80%
F1 2017*,Xbox One X Enhanced,75%
F1 2018*,Xbox One X Enhanced,40%
Fallout 4,Xbox One X Enhanced,50%
Fallout 4 Season Pass,Add-On,40%
Fallout 4: Automatron,Add-On,40%
Fallout 4: Contraptions Workshop,Add-On,40%
Fallout 4: Far Harbor,Add-On,40%
Fallout 4: Game of the Year Edition,Add-On,50%
Fallout 4: Nuka-World,Add-On,40%
Fallout 4: Vault-Tec Workshop,Add-On,40%
Fallout 4: Wasteland Workshop,Add-On,40%
Farming Simulator 17,Xbox One Game,75%
Farming Simulator 17 – Big Bud Pack,Add-On,33%
Farming Simulator 17 – Kuhn Equipment Pack,Add-On,33%
Farming Simulator 17 – Platinum Edition,Xbox One X Enhanced,75%
Farming Simulator 17 – Platinum Expansion,Add-On,33%
Farming Simulator 17 – Premium Edition,Xbox One X Enhanced,75%
Farming Simulator 17 – ROPA Pack,Add-On,33%
Farming Simulator 17 – Season Pass,Add-On,33%
Fe*,Xbox One X Enhanced,75%
Flockers,Xbox One Game,75%
Frost*,Xbox One Game,33%
Home Sweet Home,Xbox One Game,10%
Indie Bundle – Shiness & Seasons After Fall,Xbox One Game,75%
Letter Quest/Paranautical Activity Bundle*,Xbox One Game,75%
MXGP3*,Xbox One Game,60%
Masters of Anima,Xbox One X Enhanced,67%
Mega Man X Legacy Collection 1+2 *,Xbox One Game,25%
Mega Man X Legacy Collection 2*,Xbox One Game,25%
Mega Man X Legacy Collection*,Xbox One Game,25%
Mordheim: City of the Damned,Xbox One Game,75%
Mordheim: City of the Damned – Complete DLC Pack,Xbox One Game,67%
Mordheim: City of the Damned – Complete Edition,Xbox One Game,75%
Mugsters,Xbox One Game,40%
"NBA 2K19 15,000 Virtual Currency",Xbox One Game,10%
"NBA 2K19 200,000 Virtual Currency",Xbox One Game,10%
NBA 2K19 20th Anniversary Edition*,Xbox One X Enhanced,20%
"NBA 2K19 35,000 Virtual Currency",Xbox One Game,10%
"NBA 2K19 450,000 Virtual Currency",Xbox One Game,10%
"NBA 2K19 5,000 Virtual Currency",Xbox One Game,10%
"NBA 2K19 75,000 Virtual Currency",Xbox One Game,10%
NBA 2K19*,Xbox One X Enhanced,25%
Need For Speed Payback – Deluxe Edition*,Xbox One X Enhanced,75%
Need For Speed Payback*,Xbox One X Enhanced,70%
Paranautical Activity*,Xbox One Game,70%
R.B.I. Baseball 18,Xbox One Game,30%
Seasons After Fall,Xbox One Game,75%
Sherlock Holmes: Crimes and Punishments,Xbox One Game,80%
Shiness: The Lightning Kingdom,Xbox One Game,75%
Slayaway Camp: Butcher’s Cut*,Xbox One Game,50%
Spintires: MudRunner,Xbox One X Enhanced,50%
Styx: Master of Shadows,Xbox One Game,80%
Styx: Master of Shadows + Styx: Shards of Darkness Bundle,Xbox One Game,75%
Styx: Shards of Darkness,Xbox One Game,75%
Tacoma*,Xbox One X Enhanced,67%
The BioWare Bundle*,Xbox One Game,67%
The Council – Complete Season,Xbox One Game,33%
The Council – Episode 1: The Mad Ones,Xbox One Game,33%
The Council – Episode 2: Hide and Seek,Xbox One Game,20%
The Council – Episode 3: Ripples,Xbox One Game,15%
The Council – Season Pass,Add-On,33%
The Surge – A Walk in the Park,Add-On,33%
The Surge – Augmented Edition,Xbox One X Enhanced,60%
The Technomancer,Xbox One Game,80%
Titanfall 2: Ultimate Edition*,Xbox One X Enhanced,85%
Tour de France 2017,Xbox One Game,75%
Tour de France 2018,Xbox One Game,50%
Vampyr,Xbox One X Enhanced,50%
Warhammer Bundle: Mordheim and Blood Bowl 2,Xbox One Game,75%
Yoku’s Island Express,Xbox One Game,40%
