Xbox One Table
Content Title,Content Type,Price (USD)
Battlefield 1 & Titanfall 2 Ultimate Bundle*,Xbox One X Enhanced,[$12.00](https://www.microsoft.com/en-us/p/battlefield-1-titanfall-2-ultimate-bundle/c2hqwv93xhqf?cid=majornelson)
Battlefield 1 : Apocalypse,Add-On,[Free](https://www.microsoft.com/en-us/p/battlefield-1-apocalypse/c2whpnpc3wqd?cid=majornelson)
Battlefield 1 : Turning Tides,Add-On,[Free](https://www.microsoft.com/en-us/p/battlefield-1-turning-tides/bzl738xp757r?cid=majornelson)
Beyond Eyes,Xbox One Game,[$3.75](https://www.microsoft.com/en-us/p/beyond-eyes/btkvc4knhz8t?cid=majornelson)
Blood Bowl 2,Xbox One Game,[$5.00+](https://www.microsoft.com/en-us/store/p/Blood-Bowl-2/BPR721XZ2KBH?cid=majornelson)
Blood Bowl 2 – Legendary Edition,Xbox One Game,[$11.25+](https://www.microsoft.com/en-us/store/p/Blood-Bowl-2---Legendary-Edition/C53BWKSL34M5?cid=majornelson)
Blood Bowl 2: Official Expansion + Team Pack,Xbox One Game,[$26.79](https://www.microsoft.com/en-us/p/blood-bowl-2-official-expansion-team-pack/c0r2kfrkkxjg?cid=majornelson)
Bridge Constructor,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/bridge-constructor/bwg6lft5qdr3?cid=majornelson)
Bridge Constructor Portal,Xbox One Game,[$10.04](https://www.microsoft.com/en-us/p/bridge-constructor-portal/bnrx1dn6gxm6?cid=majornelson)
Bridge Constructor Stunts,Xbox One Game,[$3.00](https://www.microsoft.com/en-us/p/bridge-constructor-stunts/bvdxptttg0dl?cid=majornelson)
Burnout Paradise Remastered*,Xbox One X Enhanced,[$12.00](https://www.microsoft.com/en-us/p/burnout-paradise-remastered/bqmq3k1blv1t?cid=majornelson)
Defender’s Quest: Valley of the Forgotten DX*,Xbox One Game,[$10.04](https://www.microsoft.com/en-us/p/defenders-quest-valley-of-the-forgotten-dx/c1tbcx541jw7?cid=majornelson)
Destiny 2: Forsaken – Complete Collection*,Xbox One X Enhanced,[$79.99](https://www.microsoft.com/en-us/p/destiny-2-forsaken-complete-collection/bpdf10q2wh07?cid=majornelson)
Destiny 2: Forsaken – Legendary Collection*,Xbox One X Enhanced,[$38.99](https://www.microsoft.com/p/destiny-2-forsaken-legendary-collection/c25jldq0wsf4?cid=majornelson )
Digerati Indie Darling Bundle Vol.2*,Xbox One Game,[$15.00](https://www.microsoft.com/en-us/p/digerati-indie-darling-bundle-vol2/c4m85327qmmd?cid=majornelson)
Divinity: Original Sin – Enhanced Edition,Xbox One Game,[$10.00+](https://www.microsoft.com/en-us/store/p/Divinity-Original-Sin---Enhanced-Edition/BPNSJSZCRPPF?cid=majornelson)
F1 2015*,Xbox One Game,[$6.00](https://www.microsoft.com/en-us/p/f1-2015/brq7qhzdwv1c?cid=majornelson)
F1 2016*,Xbox One Game,[$8.00](https://www.microsoft.com/en-us/p/f1-2016/bnzj3xp0dj52?cid=majornelson)
F1 2017*,Xbox One X Enhanced,[$15.00](https://www.microsoft.com/en-us/p/f1-2017/c0hj4c6s1glh?cid=majornelson)
F1 2018*,Xbox One X Enhanced,[$35.99](https://www.microsoft.com/en-us/p/f1-2018/c2n5ttq86bc6?cid=majornelson)
Fallout 4,Xbox One X Enhanced,[Included](https://www.microsoft.com/en-us/p/fallout-4/c3kldkzbhncz?cid=majornelson)
Fallout 4 Season Pass,Add-On,[$29.99](https://www.microsoft.com/en-us/p/fallout-4-season-pass/c3sv7sxzb1vq?cid=majornelson)
Fallout 4: Automatron,Add-On,[$5.99](https://www.microsoft.com/en-us/p/fallout-4-automatron/bp36dl36490m?cid=majornelson)
Fallout 4: Contraptions Workshop,Add-On,[$2.99](https://www.microsoft.com/en-us/p/fallout-4-contraptions-workshop/bxb9zvf7rtf6?cid=majornelson)
Fallout 4: Far Harbor,Add-On,[$14.99](https://www.microsoft.com/en-us/p/fallout-4-far-harbor/c1mhjk6rkdvm?cid=majornelson)
Fallout 4: Game of the Year Edition,Add-On,[$30.00](https://www.microsoft.com/en-us/p/fallout-4-game-of-the-year-edition/c24svx28pnwm?cid=majornelson)
Fallout 4: Nuka-World,Add-On,[$11.99](https://www.microsoft.com/en-us/p/fallout-4-nuka-world/bzqb3n46jlg3?cid=majornelson)
Fallout 4: Vault-Tec Workshop,Add-On,[$2.99](https://www.microsoft.com/en-us/p/fallout-4-vault-tec-workshop/bntndkmwbr9q?cid=majornelson)
Fallout 4: Wasteland Workshop,Add-On,[$2.99](https://www.microsoft.com/en-us/p/fallout-4-wasteland-workshop/c3kqd0qj215r?cid=majornelson)
Farming Simulator 17,Xbox One Game,[$10.00+](https://www.microsoft.com/en-us/store/p/Farming-Simulator-17/C45KV8Q992HV?cid=majornelson)
Farming Simulator 17 – Big Bud Pack,Add-On,[$10.04](https://www.microsoft.com/en-us/p/farming-simulator-17-big-bud-pack/bzg9kw0n6w7j?cid=majornelson)
Farming Simulator 17 – Kuhn Equipment Pack,Add-On,[$10.04](https://www.microsoft.com/en-us/p/kuhn-equipment-pack/bx4hf4xzst1f?cid=majornelson)
Farming Simulator 17 – Platinum Edition,Xbox One X Enhanced,[$12.50+](https://www.microsoft.com/en-us/p/farming-simulator-17-platinum-edition/bpj24t8cz35p?cid=majornelson)
Farming Simulator 17 – Platinum Expansion,Add-On,[$13.39](https://www.microsoft.com/en-us/p/farming-simulator-17-platinum-expansion/bqknrqrq7k8m?cid=majornelson)
Farming Simulator 17 – Premium Edition,Xbox One X Enhanced,[$18.75+](https://www.microsoft.com/en-us/p/farming-simulator-17-premium-edition/c48wtdznrzwk?cid=majornelson)
Farming Simulator 17 – ROPA Pack,Add-On,[$5.35](https://www.microsoft.com/en-us/p/farming-simulator-17-ropa-pack/bqd2wxk8fm1b?cid=majornelson)
Farming Simulator 17 – Season Pass,Add-On,[$23.44](https://www.microsoft.com/en-us/p/farming-simulator-17-season-pass/c0z8gzczj78s?cid=majornelson)
Fe*,Xbox One X Enhanced,[$5.00](https://www.microsoft.com/en-us/p/fe/bzw2r4stvdnk?cid=majornelson)
Flockers,Xbox One Game,[$6.25](https://www.microsoft.com/en-us/p/flockers/c5jtc39ml42g?cid=majornelson)
Frost*,Xbox One Game,[$8.70](https://www.microsoft.com/en-us/p/frost/bzgd2p8r696v?cid=majornelson)
Home Sweet Home,Xbox One Game,[$17.99](https://www.microsoft.com/en-us/p/home-sweet-home/c4b4k16tjg7z?cid=majornelson)
Indie Bundle – Shiness & Seasons After Fall,Xbox One Game,[$10.00](https://www.microsoft.com/en-us/p/indie-bundle-shiness-and-seasons-after-fall/c0c3qc3j5jx2?cid=majornelson)
Letter Quest/Paranautical Activity Bundle*,Xbox One Game,[$5.00](https://www.microsoft.com/en-us/p/letter-quest-paranautical-activity-bundle/c2jznxrk223k?cid=majornelson)
MXGP3*,Xbox One Game,[$16.00](https://www.microsoft.com/en-us/p/mxgp3/btdhx5z7gl0w?cid=majornelson)
Masters of Anima,Xbox One X Enhanced,[$6.60](https://www.microsoft.com/en-us/p/masters-of-anima/brz0kjf2qz8f?cid=majornelson)
Mega Man X Legacy Collection 1+2 *,Xbox One Game,[$29.99](https://www.microsoft.com/en-us/p/mega-man-x-legacy-collection-1-2/c21cvhmq3zz7?activetab=pivot%3Aoverviewtab&cid=majornelson)
Mega Man X Legacy Collection 2*,Xbox One Game,[$14.99](https://www.microsoft.com/en-us/p/mega-man-x-legacy-collection-2/bntdmdchx2m7?activetab=pivot%3Aoverviewtab&cid=majornelson)
Mega Man X Legacy Collection*,Xbox One Game,[$14.99](https://www.microsoft.com/en-us/p/mega-man-x-legacy-collection/bt07cdvg6z9g?activetab=pivot%3Aoverviewtab&cid=majornelson)
Mordheim: City of the Damned,Xbox One Game,[$10.00+](https://www.microsoft.com/en-us/p/mordheim-city-of-the-damned/c4mxz1c8gddp?cid=majornelson)
Mordheim: City of the Damned – Complete DLC Pack,Xbox One Game,[$6.60](https://www.microsoft.com/en-us/p/mordheim-city-of-the-damned-complete-dlc-pack/c2xsgwkx5174?cid=majornelson)
Mordheim: City of the Damned – Complete Edition,Xbox One Game,[$12.50+](https://www.microsoft.com/en-us/p/mordheim-city-of-the-damned-complete-edition/c2kp3vp1fmwg?cid=majornelson)
